text,start,duration,end,dominant_emotion
"""What Causes Insulin Resistance?""",0.0,5.85,5.85,NA
"Studies dating back nearly a century
noted a striking finding.",5.85,2.57,8.42,NA
"If you take young, healthy people
and split them up into two groups,",8.42,4.22,12.64,sad
"half on a fat-rich diet, and the
other half on a carb rich diet,",12.64,4.49,17.130000000000003,surprise
"within just two days,
this is what happens.",17.13,3.48,20.61,sad
"The glucose intolerance
skyrockets in the fatty diet group.",20.61,4.1,24.71,NA
"In response to the same
sugar water challenge,",24.71,2.12,26.830000000000002,NA
"the group that had
been shoveling in fat",26.83,2.17,29.0,sad
"ended up with twice
the blood sugar.",29.0,3.13,32.13,NA
"As the amount of fat in the diet goes
up, so does one’s blood sugar spikes.",32.13,6.659,38.789,NA
"It would take scientists nearly seven
decades to unravel this mystery,",38.789,4.41,43.199,NA
"but it would end up holding the key to
our current understanding of the cause",43.199,4.811,48.01,neutral
of type 2 diabetes.,48.01,2.879,50.888999999999996,NA
"When athletes carb load before a
race, they’re trying to build up",50.889,3.231,54.120000000000005,NA
"the fuel supply
within their muscles.",54.12,1.559,55.678999999999995,NA
"They break down the starch into
glucose in their digestive tract;",55.679,3.14,58.819,NA
"it circulates as blood
glucose, blood sugar,",58.819,3.17,61.989000000000004,neutral
"and is taken up by our muscles
to be stored and burned for energy.",61.989,4.361,66.35,NA
"Blood sugar, though,
is like a vampire.",66.35,1.65,68.0,neutral
"It needs an invitation
to come into our cells.",68.0,3.1,71.1,neutral
And that invitation is insulin.,71.1,2.4,73.5,fear
Here's a muscle cell.,73.5,3.42,76.92,NA
"Here's some blood sugar outside
waiting patiently to come in.",76.92,4.5,81.42,NA
"Insulin is the key
that unlocks the door",81.42,3.339,84.759,NA
"to let the sugar in our blood
enter the muscle cell.",84.759,2.951,87.71,NA
"When insulin attaches
to the insulin receptor,",87.71,2.519,90.229,NA
"it activates an enzyme, which
activates another enzyme,",90.229,3.371,93.6,NA
"which activates two more enzymes,
which finally activates glucose transport,",93.6,5.47,99.07,NA
"which acts as a gateway
for glucose to enter the cell.",99.07,4.15,103.22,NA
"So insulin is the key that unlocks
the door into our muscle cells.",103.22,4.709,107.929,NA
"What if there was 
no insulin though?",107.929,2.561,110.49000000000001,neutral
"Well, blood sugar would be
stuck out in the bloodstream",110.49,2.339,112.829,angry
"banging on the door to our
muscles and not be able to get inside,",112.829,3.281,116.11,NA
"and so with nowhere to go,
sugar levels would rise and rise.",116.11,4.28,120.39,NA
"That's what happens
in type 1 diabetes.",120.39,3.67,124.06,sad
"The cells in the pancreas
that make insulin",124.06,1.869,125.929,sad
"get destroyed, and without insulin,
sugar in the blood can't get",125.929,2.97,128.899,sad
"out of the blood into the muscles,
and blood sugar rises.",128.899,3.231,132.13,sad
"But there's a second way we could
end up with high blood sugar.",132.13,4.37,136.5,NA
"What if there's enough insulin,
but the insulin doesn't work?",136.5,5.47,141.97,NA
"The key is there but something's
gummed up the lock.",141.97,4.29,146.26,NA
This is called insulin resistance.,146.26,2.77,149.03,neutral
"Our muscle cells become
resistant to the effect of insulin.",149.03,5.0,154.03,NA
"What's gumming up the door
locks on our muscle cells",154.03,2.58,156.61,neutral
"preventing insulin
from letting sugar in?",156.61,3.79,160.4,sad
"Fat.  What's called
intramyocellular lipid,",160.4,3.99,164.39000000000001,sad
"fat inside our 
muscle cells.",164.39,3.47,167.85999999999999,neutral
"Fat in the bloodstream can build
up inside the muscle cell,",167.86,2.94,170.8,sad
"creating toxic fatty
breakdown products",170.8,2.4,173.20000000000002,fear
"and free radicals that can block
the signaling pathway process.",173.2,5.29,178.48999999999998,sad
"So no matter how much insulin
we have out in our blood,",178.49,2.66,181.15,sad
"it's not able to open
the glucose gates,",181.15,2.33,183.48000000000002,angry
"and blood sugar levels
build up in the blood.",183.48,4.42,187.89999999999998,NA
"This mechanism by which fat,
specifically saturated fat,",187.9,4.19,192.09,NA
induces insulin resistance,192.09,1.38,193.47,sad
"wasn't known until fancy MRI
techniques were developed",193.47,3.79,197.26,sad
"to see what was happening
inside people's muscles",197.26,3.18,200.44,NA
"as fat was infused
into their bloodstream.",200.44,3.63,204.07,NA
"That's how they found out that
elevation of fat levels in the blood",204.07,3.66,207.73,neutral
"causes insulin resistance by inhibition
of glucose transport into the muscles.",207.73,4.35,212.07999999999998,neutral
"And this can happen
within just three hours.",212.08,4.26,216.34,fear
"One hit of fat can start
causing insulin resistance,",216.34,3.73,220.07,angry
"inhibiting glucose uptake
after just 160 minutes.",220.07,4.45,224.51999999999998,NA
"Same thing happens
to adolescents.",224.52,2.91,227.43,neutral
"You infuse fat into
their bloodstream.",227.43,1.74,229.17000000000002,fear
"It builds up in their muscles and
decreases their insulin sensitivity,",229.17,4.58,233.75,sad
"showing that increased
fat in the blood can be",233.75,2.49,236.24,angry
"an important contributor
of insulin resistance.",236.24,2.81,239.05,NA
"And then you can do
the opposite experiment.",239.05,2.55,241.60000000000002,NA
"Lower the level of fat
in people's blood",241.6,1.22,242.82,NA
"and the insulin resistance
comes right down.",242.82,2.79,245.60999999999999,NA
"Clear the fat out of the blood, and
you clear the sugar out of the blood.",245.61,6.18,251.79000000000002,NA
"So that explains 
this finding.",251.79,2.36,254.15,NA
"On a high fat diet, the ketogenic diet,
insulin doesn't work as well.",254.15,6.32,260.47,NA
"Our bodies are 
insulin resistant.",260.47,3.27,263.74,NA
"But as the amount of fat in
our diet gets lower and lower,",263.74,4.82,268.56,NA
"insulin works
better and better.",268.56,2.33,270.89,NA
"This is a clear demonstration
that the sugar tolerance",270.89,4.04,274.93,NA
"of even healthy individuals
can be impaired",274.93,3.85,278.78000000000003,NA
"by administering a
low-carb, high-fat diet.",278.78,3.9,282.67999999999995,NA
"But we can decrease insulin resistance,
the cause of pre-diabetes,",282.68,4.08,286.76,NA
"the cause of type 2 diabetes,
by decreasing saturated fat intake.",286.76,5.84,292.59999999999997,NA
