text,start,duration,end,dominant_emotion
"Everytime I drink something with aspartame
in it, I can't help but worry to myself: AM",0.28,3.53,3.8099999999999996,neutral
I DRINKING CANCER?,3.81,2.85,6.66,neutral
"Hey everyone, Laci Green here for DNews.",6.66,6.45,13.11,sad
"Artificial sweeteners have been a hotbed of
scientific debate for decades.",13.11,3.75,16.86,sad
"There's so much to be said about it -- but
here's a quick roundup of a few things you",16.86,2.99,19.85,fear
"should know about the most common artificial
sweeteners.",19.85,2.75,22.6,fear
"Saccharin AKA Sweet n Low was the first artificial
sweetener discovered waaay back in 1879 while",22.6,5.47,28.07,fear
"scientists were formulating chemical dyes
from coal tar.",28.07,2.94,31.01,fear
I know: YUM!,31.01,1.2,32.21,happy
"In the 70s, studies came out finding that
saccharin caused bladder cancer in rats - and",32.21,3.739,35.949,fear
"so the government required a cancer warning
on the label.",35.949,2.651,38.599999999999994,fear
"They tried to take it off the market, but
the diet industry was making big bucks and",38.6,3.979,42.579,NA
weren't gonna have any of that.,42.579,1.591,44.17,neutral
"Fast forward to the 90s and studies begin
to suggest that the bladder cancer effect",44.17,3.729,47.899,fear
"is ONLY in rodents, not humans, and by 2000,
the warning label was removed.",47.899,4.58,52.479,fear
"However, the Center for Science in the Public
Interest, which is a non-profit watchdog group,",52.479,4.391,56.87,sad
"has saccharin on their ""avoid"" list.",56.87,1.369,58.239,fear
"Saccharin has lost a lot of its popularity
because of the controversy.",58.239,3.5,61.739,fear
"The most common artificial sweetener on the
market today is sucralose AKA Splenda.",61.739,3.53,65.26899999999999,fear
"There's a lot of talk about how Splenda is
unsafe and hasn't been tested...but since",65.269,4.191,69.46000000000001,NA
"its discovery in 1976, it has been the subject
of over 100 long and short-term animal and",69.46,5.339,74.79899999999999,neutral
human studies.,74.799,1.0,75.799,neutral
"And except for a couple highly questioned
studies, no ill effects have been found, so",75.799,3.57,79.369,sad
"long as you aren't eating a tub of sucralose
for dinner.",79.369,2.71,82.079,fear
"The FDA approved it in 1998 and the CSPI also
agrees it's a safe, non-carcinogenic alternative",82.079,5.29,87.369,fear
to sugar.,87.369,1.0,88.369,fear
"Lastly, the biggie: aspartame.",88.369,2.6,90.969,NA
"It's found in sooo many products these days,
from to drinks, to candy, gum, jam, processed",90.969,4.04,95.009,NA
foods.,95.009,1.78,96.789,neutral
"Aspartame came about in the 60's when scientists
were looking for ulcer treatments.",96.789,3.661,100.45,fear
It's been widely studied since then.,100.45,1.54,101.99000000000001,fear
"The main things you should know is that the
cancer concerns come mostly from a set of",101.99,3.711,105.701,fear
"high profile studies done in Italy where they
fed extremely high amounts of aspartame to",105.701,4.268,109.969,fear
rats throughout their lifespan.,109.969,1.18,111.149,NA
"The rats developed blood and breast cancers
as well as kidney tumors, which are extremely",111.149,3.96,115.109,NA
rare in the breed of rat used.,115.109,1.851,116.96,fear
"However, the FDA and the EFSA both rejected
the studies on the (rather vague) grounds",116.96,4.38,121.33999999999999,fear
"that they ""lacked important data"" and approved
Aspartame anyway.",121.34,3.56,124.9,fear
As for studies on people?,124.9,1.029,125.929,NA
"The largest study was done by the National
Cancer Institute examining cancer rates in",125.929,4.141,130.07,fear
a half million adults.,130.07,1.05,131.12,fear
"Between groups that did and did not consume
products with aspartame, there was no increased",131.12,4.449,135.56900000000002,NA
risk of cancer for those that did.,135.569,1.81,137.379,fear
"The watchdog group argues that this study
was incomplete: it didn't include the very",137.379,3.97,141.349,fear
"elderly, nor people who had consumed aspartame
since childhood.",141.349,4.271,145.61999999999998,NA
"Aspartame intake was also self reported - which
is a serious flaw when you consider the fact",145.62,3.22,148.84,NA
"that a lot of the time people don't know it's
in their food.",148.84,2.33,151.17000000000002,NA
"The CSPI gives aspartame it's lowest food
safety ranking and argues that it is not safe",151.17,4.67,155.83999999999997,fear
for human consumption.,155.84,1.0,156.84,NA
"I've read lots of reports out of concern for
my own health, and you should too if you're",156.84,3.15,159.99,fear
interested!,159.99,1.0,160.99,fear
"The bottom line seems to be: sucralose is
the safest for regular consumption.",160.99,3.8,164.79000000000002,fear
"Aspartame and saccharin are more questionable,
so if you're going to consume them, maybe",164.79,2.979,167.769,fear
don't have too much.,167.769,1.151,168.92000000000002,fear
"Also: if you're using artificial sweeteners
to lose weight, there's a STRONG body of research",168.92,3.849,172.76899999999998,fear
that suggests it doesn't help.,172.769,1.751,174.52,neutral
"In fact, across several large studies done
at Yale for the National Institute of Health:",174.52,4.04,178.56,fear
"people who use artificial sweeteners actually
gain weight over time.",178.56,3.22,181.78,NA
"They're still trying to figure out why this
happens.",181.78,2.06,183.84,NA
"Scientists are also just starting to study
a relatively new artificial sweetener touted",183.84,4.07,187.91,fear
"as a ""natural alternative to sugar"" called
Stevia, or Truvia.",187.91,3.45,191.35999999999999,NA
"With the limited studies that are out there,
it looks like it could be safe, and the CSPI",191.36,3.56,194.92000000000002,NA
"statements seem more positive about the potential
for Stevia.",194.92,3.16,198.07999999999998,NA
OH MAN.,198.08,1.359,199.43900000000002,neutral
Lotsa facts today!,199.439,1.0,200.439,neutral
Hope this was useful to some of you out there.,200.439,1.531,201.97,neutral
"I'm gonna put lots of further reading in the
description, check it out, and let me know",201.97,2.48,204.45,sad
"what you think about artificial sweeteners
in the comments below.",204.45,2.739,207.189,fear
"Thanks for joining me, I'll see you next time!",207.189,1.681,208.87,NA
