text,start,duration,end,dominant_emotion
[MUSIC],0.0,6.893,6.893,NA
"I came to the conclusion of
bariatric surgery because I was a 22",6.893,4.164,11.056999999999999,NA
year old kid.,11.057,0.933,11.99,sad
"Chewie, come here!",11.99,0.606,12.596,NA
Just started grad school. Chewie!,12.596,1.594,14.19,NA
And,14.19,0.37,14.559999999999999,NA
"didn't have the life
that I wanted to live.",14.56,2.08,16.64,NA
Got get him!,16.64,0.62,17.26,NA
"I couldn't go into the career
I wanted to go into.",17.26,1.573,18.833000000000002,NA
"And I couldn't do the things
that I wanted to do in my life.",18.833,1.931,20.764,NA
And I had tried all the diets.,20.764,3.366,24.13,NA
"I had tried high protein,
low carb diets, and",24.13,3.46,27.59,NA
"just the whole good old fashioned
working out, and none of it worked.",27.59,3.41,31.0,sad
"One day, my dad actually pulled
me aside because he had had",31.0,2.69,33.69,NA
"the surgery,
my mom had had the surgery.",33.69,1.52,35.21,NA
"I have a lot of people in my life
that have had the gastric bypass",35.21,2.59,37.8,NA
surgery.,37.8,1.23,39.029999999999994,NA
"And he told me that
it was an option.",39.03,3.35,42.38,NA
"It was kind of like, my gosh, this
is something that's a viable option.",42.38,4.651,47.031000000000006,NA
>> I can actually do this.,47.031,0.782,47.813,happy
>> How are you?,47.813,1.981,49.794000000000004,NA
">> Fine, how are you?",49.794,0.526,50.32,NA
">> The most important piece of
advice I would give somebody is to",51.4,2.37,53.769999999999996,NA
"do what the bariatric
team tells you to do.",53.77,2.9,56.67,NA
>> Maintain your fluids.,56.67,1.054,57.724000000000004,neutral
">> They tell you to get your
64 ounces of water, and",57.724,1.784,59.507999999999996,sad
"they tell you to get however much
protein you're supposed to get in.",59.508,2.622,62.13,NA
You will be rewarded for it later.,62.13,1.81,63.940000000000005,NA
Are you okay?,63.94,0.7,64.64,NA
">> Yeah.
>> You need to get out of bed, and",65.76,1.25,67.01,sad
"you need to start walking because
that's how the healing process",67.01,2.61,69.62,fear
starts to take place.,69.62,1.35,70.97,sad
"Don't think that you can't get out
there and walk the day of surgery or",70.97,3.57,74.53999999999999,NA
"the day after to
a couple of days after.",74.54,2.43,76.97000000000001,NA
"You'll be able to do whatever
it is that you love to do.",76.97,2.62,79.59,fear
You'll be able to do that.,79.59,1.238,80.828,NA
"It's not something that,
this surgery isn't something that is",80.828,4.032,84.86,NA
"going to keep you on the couch for
a month.",84.86,2.19,87.05,sad
">> Today's topic is gonna be all
about hydration and it's probably",87.05,3.82,90.86999999999999,sad
"the most important thing that
you can do immediately post-op.",90.87,4.07,94.94,NA
">> You need to keep
fluid going into you.",94.94,1.4,96.34,NA
"So just have your bottle
of water with you.",96.34,2.29,98.63000000000001,NA
"Take little sips every now and
then, and you'll be good.",98.63,4.28,102.91,NA
"You have limited real
estate in your stomach.",104.73,1.66,106.39,NA
"And you have to use that up with
good things like protein to help",106.39,4.43,110.82,NA
make you strong and,110.82,0.72,111.53999999999999,sad
"keep your strength throughout
the surgery process.",111.54,2.12,113.66000000000001,NA
"The key thing there is you
have to get protein in first.",114.86,3.21,118.07,sad
"No matter what else is around, no
matter what else is on your plate,",118.07,2.89,120.96,sad
"you have to get your meats and
fish and all that in.",120.96,3.88,124.83999999999999,sad
"All your protein needs
to get in first.",124.84,1.606,126.446,NA
Use them for snacks.,126.446,1.044,127.49,NA
"Something high protein just to get
that little extra protein in every",127.49,3.062,130.552,NA
"day, every chance that you can.",130.552,1.492,132.04399999999998,NA
"The vitamins are a little
bit of a challenge.",132.044,1.996,134.04000000000002,NA
Sometimes I'll forget.,134.04,0.694,134.73399999999998,neutral
I have this support system.,134.734,1.656,136.39000000000001,NA
"I have my mom yelling at me
every day, get your vitamins in.",136.39,3.02,139.41,NA
"I have my dad telling me
to get my vitamins in.",139.41,1.92,141.32999999999998,sad
"I'll set a reminder on my phone,
get your vitamins in, your B12,",141.33,3.84,145.17000000000002,fear
"your multivitamin, your vitamin C,
all that kinda stuff.",145.17,4.48,149.64999999999998,fear
"It's something that you need to do
because this isn't just something",149.65,2.78,152.43,angry
"that, you don't just get your
vitamins in for a month or two.",152.43,3.35,155.78,fear
"It's something you have to do for
your whole life.",155.78,2.23,158.01,NA
"Exercise by far,
has been the biggest factor because",158.01,4.24,162.25,NA
"it makes that scale tick down
even faster and that's a very,",162.25,3.42,165.67,NA
"very cool thing to see,
especially in the first year.",165.67,2.44,168.10999999999999,NA
"You start seeing
things in your body,",168.11,1.41,169.52,NA
"you start seeing these changes
when the weight's coming off.",169.52,3.24,172.76000000000002,NA
You're gaining muscle and,172.76,2.4,175.16,NA
"you're working out,
it's an incredible thing to see.",175.16,2.81,177.97,NA
"I would just say, don't be scared.",180.05,2.91,182.96,NA
"This is the most rewarding thing
that I have ever done in my life.",182.96,3.22,186.18,NA
It is a blessing.,186.18,0.97,187.15,NA
"It's a miracle and it's something
that I would go back and",187.15,2.94,190.09,NA
I would do tomorrow.,190.09,0.96,191.05,NA
"I'm now able to be the person
that I was meant to be.",191.05,2.468,193.518,NA
