text,start,duration,end,dominant_emotion
wanna know how you can lose 65 pounds,0.0,5.12,5.12,fear
this year i've got you covered let's go,2.24,4.8,7.04,fear
hey killer bees i'm paula b your best,5.12,3.68,8.8,surprise
middle aged fitness friend and around,7.04,3.76,10.8,surprise
here we are all about making peace with,8.8,4.08,12.88,surprise
your menopausal body by finding a,10.8,4.16,14.96,fear
healthy weight and moving in ways that,12.88,4.0,16.880000000000003,fear
feel like self-love and you know what,14.96,3.52,18.48,fear
feels like self-love,16.88,4.239,21.119,fear
losing weight with the 5-0 method like,18.48,4.24,22.72,fear
these beautiful bees,21.119,2.881,24.0,fear
have you noticed that weight loss is,22.72,3.2,25.919999999999998,fear
different now that we're in our 50s like,24.0,3.439,27.439,fear
we used to be able to do that thing,25.92,3.759,29.679000000000002,fear
where you would eat less and move more,27.439,2.961,30.4,happy
and,29.679,2.801,32.48,happy
okay maybe it wasn't easy,30.4,4.4,34.8,happy
but it also wasn't exactly,32.48,5.04,37.519999999999996,fear
hard but now the harder you work and the,34.8,5.52,40.31999999999999,fear
less you eat the more you seem to be,37.52,4.48,42.0,fear
gaining weight,40.32,3.44,43.76,fear
yeah that's an actual thing and it's,42.0,4.48,46.480000000000004,fear
actually just biology here in menopause,43.76,4.72,48.48,happy
land with dwindling or non-existent,46.48,4.399,50.879,happy
estrogen our bodies are reacting,48.48,4.0,52.48,fear
differently to the things that we used,50.879,3.761,54.64,fear
to do and that used to work when we were,52.48,4.8,57.279999999999994,fear
younger so that means that now we need,54.64,4.079,58.719,fear
to do something different to get the,57.28,3.439,60.719,happy
weight loss results we're looking for in,58.719,4.64,63.359,happy
fact we need to do five things every day,60.719,5.361,66.08,happy
in order to lose 65 pounds this year,63.359,5.041,68.4,fear
because make no mistake my friend you,66.08,5.039,71.119,fear
can go five pounds down every four weeks,68.4,6.719,75.119,fear
in 20 22 and here's how every single day,71.119,5.601,76.72,fear
we're gonna eat the right number of,75.119,4.241,79.36,
calories which is not necessarily less,76.72,4.48,81.2,happy
than you were eating before in fact for,79.36,3.84,83.2,happy
lots of women it's,81.2,3.12,84.32000000000001,
more,83.2,2.64,85.84,
every single day we're going to drink,84.32,3.68,88.0,
the right amount of water which is half,85.84,4.239,90.07900000000001,
your body weight in pounds in ounces of,88.0,4.96,92.96,
water so for example if you weigh 180,90.079,6.0,96.079,fear
pounds you'll drink 90 ounces of water,92.96,4.88,97.83999999999999,fear
every single day we're going to get the,96.079,3.761,99.83999999999999,fear
right amount of sleep which means that,97.84,3.52,101.36,
we'll go to bed at the same time every,99.84,3.52,103.36,
night and get up at the same time every,101.36,4.64,106.0,
morning and stop worrying about how much,103.36,4.399,107.759,
of that time in between was actually,106.0,3.84,109.84,
spent asleep every single day we're,107.759,5.04,112.799,fear
going to exercise moderately which is,109.84,4.8,114.64,fear
probably not more than you've been doing,112.799,4.881,117.68,
and could in fact be a whole lot,114.64,4.079,118.719,
less,117.68,1.92,119.60000000000001,fear
yes,118.719,2.881,121.6,fear
and most important of all every day,119.6,3.76,123.36,fear
we're going to manage our minds by,121.6,3.6,125.19999999999999,
finding our thoughts and deciding if,123.36,3.119,126.479,
they're helpful,125.2,3.919,129.119,
but wait a second paula b you might be,126.479,4.881,131.36,fear
asking yourself right about now how can,129.119,4.961,134.08,fear
you guarantee that i'll lose 65 pounds,131.36,3.84,135.20000000000002,happy
this year,134.08,3.44,137.52,neutral
my friend i can't because your body's,135.2,4.08,139.28,neutral
gonna do what your body's gonna do but,137.52,4.24,141.76000000000002,fear
here's what i do know and why i'm,139.28,4.64,143.92,fear
sharing these exact weight loss tools,141.76,4.479,146.239,fear
with you even if you only lose five,143.92,4.88,148.79999999999998,
pounds this year it's five pounds that,146.239,5.761,152.0,
you'll never have to lose again when you,148.8,6.6,155.4,
lose weight in a healthy sustainable,152.0,6.8,158.8,
enjoyable way that is founded on,155.4,6.119,161.519,fear
treating yourself with love and respect,158.8,5.6,164.4,fear
you'll stick with it as long as it takes,161.519,5.36,166.87900000000002,
and i'm here to help starting this,164.4,4.479,168.87900000000002,fear
coming monday january 3rd i'll be,166.879,4.801,171.67999999999998,fear
releasing a new set of five workout,168.879,6.881,175.76,fear
videos every four weeks in 2022 that are,171.68,6.32,178.0,fear
perfect for you on your weight loss,175.76,4.72,180.48,fear
journey they're moderate they're doable,178.0,5.599,183.599,fear
they're low impact and they're fun,180.48,4.8,185.28,fear
and while you're waiting for that first,183.599,4.481,188.07999999999998,fear
set of workouts go grab the 5-0 method,185.28,5.599,190.879,fear
my completely free ebook that explains,188.08,4.72,192.8,happy
all about these five things that we do,190.879,4.321,195.2,fear
every day that make us say oh i had no,192.8,4.4,197.20000000000002,fear
idea losing weight could be this easy,195.2,3.84,199.04,fear
there's a url here on the screen and,197.2,3.2,200.39999999999998,fear
there's a link in the description box,199.04,3.36,202.4,fear
below to go get that today so click on,200.4,3.68,204.08,happy
that now and i'll see you in the next,202.4,4.24,206.64000000000001,surprise
video,204.08,2.56,206.64000000000001,surprise
