text,start,duration,end,dominant_emotion
it was just a point where I was tired of,2.31,4.839,7.149000000000001,NA
looking myself in the mirror I was tired,4.959,6.871,11.83,NA
of wearing men's 3x Nike clothes but I,7.149,6.511,13.66,NA
remember just grabbing on to my stomach,11.83,4.049,15.879000000000001,NA
and be like this is not who I am,13.66,4.65,18.310000000000002,NA
hey my name is everywhere X I'm a police,15.879,3.601,19.48,NA
officer with the Burlington Police,18.31,6.539,24.848999999999997,NA
Department I was a person like but there,19.48,9.09,28.57,NA
was a plate of food I ate it out my,24.849,6.27,31.119,NA
heaviest weight was 258 pounds I'm,28.57,8.669,37.239000000000004,NA
currently 147 at first I was like you,31.119,7.53,38.649,NA
know I thought I could lose the weight,37.239,3.66,40.899,fear
but having underlying health problems,38.649,5.791,44.44,NA
really made it difficult I went to my,40.899,6.241,47.14,NA
local doctor that's when she recommended,44.44,4.65,49.089999999999996,NA
me to go to Mercy in Cedar Rapids for,47.14,5.61,52.75,NA
bariatric surgery I knew I mean gaining,49.09,6.42,55.510000000000005,NA
the weight really put a limitation on me,52.75,6.629,59.379,NA
achieving my dream that's when I knew I,55.51,5.639,61.149,NA
had to make a change in my life I knew I,59.379,5.731,65.11,NA
needed to better myself as a personable,61.149,6.931,68.08,NA
- I knew I wanted to always be a police,65.11,4.63,69.74,NA
officer,68.08,4.21,72.28999999999999,NA
I knew for the fitness test you have to,69.74,5.19,74.92999999999999,NA
run a mile and a half and 15 minutes and,72.29,5.55,77.84,NA
26 seconds and you after one lap I'm,74.93,6.24,81.17,NA
like trying to regain my breathing,77.84,6.24,84.08,NA
control I was struggling after surgery I,81.17,4.83,86.0,NA
was working out I have times from,84.08,4.8,88.88,NA
starting at you know was able to run a,86.0,4.8,90.8,NA
mile and a half in 17 minutes and then,88.88,3.87,92.75,NA
it would continue to go down and I,90.8,3.69,94.49,NA
remember the day that I got it to like,92.75,4.65,97.4,NA
15 24 so I got two seconds faster than,94.49,4.98,99.47,NA
what I had to get it in and now my,97.4,3.57,100.97,NA
fastest time for a mile and a half after,99.47,4.62,104.09,NA
surgery is 12 minutes flat I remember,100.97,5.759,106.729,NA
struggling with one push up I'm like how,104.09,4.62,108.71000000000001,sad
in the world am I gonna get 15 push-ups,106.729,5.731,112.46,sad
in and I'm like I I wanted this job you,108.71,5.76,114.47,sad
know and I don't lose thirty pounds,112.46,5.01,117.47,NA
before I could even get into surgery so,114.47,5.3,119.77,NA
it was cutting down the portions it was,117.47,5.039,122.509,NA
throwing so much bread and don't drink,119.77,6.55,126.32,NA
so much soda dr. Hodge she is a,122.509,5.761,128.27,NA
wonderful doctor I would recommend her,126.32,4.049,130.369,NA
to anybody that how much that the,128.27,4.62,132.89000000000001,NA
support they care you know she was just,130.369,4.801,135.17,sad
there through everything even for like a,132.89,3.72,136.60999999999999,NA
man scale victory,135.17,4.379,139.54899999999998,NA
I ain't even posted when I first,136.61,5.189,141.799,NA
graduated the police academy just,139.549,5.641,145.19,NA
everybody was there for support and then,141.799,4.201,146.0,NA
I got a call back,145.19,3.24,148.43,NA
saying that you know they wanted a,146.0,5.519,151.519,NA
conditional offer and from I remember,148.43,5.01,153.44,NA
talking with the major and hanging up,151.519,5.961,157.48000000000002,NA
the phone and just jumping up and down,153.44,8.01,161.45,NA
finally you know finally a reached where,157.48,5.89,163.36999999999998,NA
I wanted to be in my life where I'm,161.45,3.72,165.17,NA
going to be a police officer and having,163.37,3.6,166.97,NA
surgery was honestly a blessing I,165.17,3.15,168.32,NA
wouldn't be in this uniform today,166.97,3.42,170.39,NA
proudly serving the community of,168.32,3.93,172.25,NA
Burlington if it wasn't for them giving,170.39,5.24,175.63,NA
me the opportunity,172.25,3.38,175.63,NA
