text,start,duration,end,dominant_emotion
at footsmart we're passionate about foot,0.719,4.721,5.44,NA
care and lower body health we've,3.28,4.4,7.68,NA
partnered with experts at the podiatry,5.44,4.239,9.679,NA
institute to educate you about common,7.68,4.56,12.239999999999998,NA
foot and lower body ailments,9.679,4.801,14.48,NA
if you have diabetes and have ever felt,12.24,4.16,16.4,NA
a slight numbness or tingling in your,14.48,4.32,18.8,NA
toes feet or legs then you may have,16.4,5.28,21.68,fear
experienced diabetic neuropathy so what,18.8,5.76,24.560000000000002,fear
is this condition diabetic neuropathy is,21.68,4.56,26.24,fear
a nerve disease that can affect the,24.56,4.039,28.598999999999997,NA
hands and feet it's caused by,26.24,4.72,30.959999999999997,NA
hyperglycemia or a chronically high,28.599,4.601,33.2,NA
level of blood sugar which can result in,30.96,3.759,34.719,fear
poor circulation,33.2,3.28,36.480000000000004,fear
we strongly recommend that you consult,34.719,3.52,38.239000000000004,NA
with your doctor for a professional,36.48,4.32,40.8,NA
diagnosis but here are the most common,38.239,4.64,42.879,NA
symptoms associated with diabetic,40.8,4.8,45.599999999999994,NA
neuropathy as we pointed out earlier,42.879,4.321,47.199999999999996,NA
there's numbness and tingling in the,45.6,4.479,50.079,NA
feet and legs you may feel burning sharp,47.2,4.8,52.0,NA
or electrical shock like pain in your,50.079,4.64,54.719,NA
feet the loss of feeling pain heat or,52.0,5.28,57.28,NA
cold in your feet in fact you may have,54.719,4.881,59.6,NA
pressure sores blisters and minor cuts,57.28,4.799,62.079,NA
on your feet that you won't even feel,59.6,4.879,64.479,NA
when you have diabetes protecting and,62.079,4.481,66.56,NA
caring for your feet are important steps,64.479,4.481,68.96,surprise
to living healthily with the disease,66.56,4.0,70.56,surprise
footsmart in partnership with the,68.96,3.68,72.64,fear
podiatry institute has smart,70.56,3.84,74.4,fear
recommendations to help care for,72.64,3.519,76.159,NA
diabetic feet,74.4,3.6,78.0,NA
find therapeutic footwear that's,76.159,4.96,81.119,NA
certified just for diabetics wear high,78.0,5.2,83.2,NA
and wide toe box shoes that give you,81.119,3.68,84.799,NA
plenty of space,83.2,3.44,86.64,NA
wear footwear that fits well and,84.799,3.441,88.24000000000001,NA
protects your feet,86.64,3.839,90.479,NA
wear conforming removable insoles in,88.24,3.6,91.83999999999999,NA
your footwear,90.479,3.921,94.4,NA
look for seamless non-binding socks that,91.84,5.04,96.88000000000001,NA
won't put pressure on swollen legs,94.4,5.12,99.52000000000001,NA
use diabetic foot cream over your entire,96.88,5.279,102.15899999999999,NA
foot it can help hydrate dry skin and,99.52,5.52,105.03999999999999,NA
stimulate circulation we also have these,102.159,4.721,106.88000000000001,NA
expert tips on taking care of your,105.04,3.28,108.32000000000001,NA
diabetic feet,106.88,4.08,110.96,NA
do inspect your feet daily for blisters,108.32,5.36,113.67999999999999,NA
bleeding and lesions between the toes,110.96,4.64,115.6,NA
use a mirror to examine the bottom of,113.68,3.84,117.52000000000001,NA
your feet as well,115.6,4.32,119.91999999999999,NA
do wash your feet daily with warm soapy,117.52,4.639,122.15899999999999,NA
water and dry them thoroughly especially,119.92,4.0,123.92,NA
between the toes,122.159,4.081,126.24000000000001,NA
do trim your toenails carefully straight,123.92,5.44,129.36,NA
across and do not gouge into the corners,126.24,5.28,131.51999999999998,NA
footsmart has a variety of expertly,129.36,4.08,133.44000000000003,NA
selected shoes and health products to,131.52,4.0,135.52,NA
choose from that can help you take care,133.44,4.72,138.16,NA
of diabetic feet and relieve discomfort,135.52,5.2,140.72,NA
footsmart we're your foot care experts,138.16,4.32,142.48,NA
thanks for watching,140.72,3.599,144.319,NA
learn more about this ailment and get,142.48,4.399,146.879,NA
expert solutions visit us online at,144.319,5.56,149.879,NA
footsmart.com,146.879,3.0,149.879,NA
