text,start,duration,end,dominant_emotion
thirty million people in the United,0.0,3.36,3.36,happy
States have diabetes the vast majority,1.56,4.38,5.9399999999999995,happy
of them have type 2 diabetes some of,3.36,4.439,7.7989999999999995,fear
those are testing their blood sugar at,5.94,4.05,9.99,happy
home but the best research is telling us,7.799,3.96,11.759,happy
that they don't need do that in fact,9.99,3.72,13.71,fear
it's a waste of money it's not a small,11.759,4.05,15.809000000000001,fear
problem the waste is running into the,13.71,4.23,17.94,fear
billions of dollars and it's costing all,15.809,3.451,19.259999999999998,fear
of us money through the healthcare,17.94,3.599,21.539,
system that's the topic of this week's,19.26,10.8,30.060000000000002,
healthcare triage for people with type 1,21.539,10.77,32.309,
diabetes blood glucose monitoring and,30.06,4.53,34.589999999999996,
insulin administration is the standard,32.309,4.261,36.57,
of care patients need to check their,34.59,3.989,38.579,
blood sugar multiple times a day then,36.57,4.02,40.59,
give themselves insulin to replace what,38.579,3.171,41.75,
would have been made in the pancreas,40.59,3.809,44.399,
treatment for type 2 diabetes however,41.75,4.51,46.26,
doesn't involve these critical,44.399,3.66,48.059,
calculations of insulin it's usually,46.26,3.27,49.53,
maintained with pretty regular,48.059,3.301,51.36,
administration of the same drugs on a,49.53,3.9,53.43,
set schedule self-monitoring for blood,51.36,5.1,56.46,
glucose therefore may be unnecessary for,53.43,5.28,58.71,
those not on insulin this has been,56.46,4.349,60.809,
tested in well-designed studies the,58.71,3.899,62.609,
monitor trial published two years ago in,60.809,3.93,64.739,
JAMA internal medicine was a pragmatic,62.609,4.561,67.17,
trial that took place in 15 primary care,64.739,4.74,69.479,
practices in North Carolina patients,67.17,4.559,71.729,
with type 2 non insulin treated diabetes,69.479,3.811,73.28999999999999,
were randomly assigned to one of three,71.729,3.871,75.6,
groups people in the first group were,73.29,4.079,77.369,
told to check their blood glucose once a,75.6,4.32,79.91999999999999,
day people in the second were told to,77.369,4.201,81.57,
check their blood glucose once a day and,79.92,3.269,83.18900000000001,
then they were given tailored advice,81.57,3.27,84.83999999999999,
depending on the results from the meter,83.189,4.411,87.6,
the third group was told not to check,84.84,5.099,89.93900000000001,
their blood sugar at all after one year,87.6,4.08,91.67999999999999,
which is a pretty impressive length for,89.939,3.421,93.36,
