text,start,duration,end,dominant_emotion
hello everyone I am dr. pews Jenn I am,0.0,4.2,4.2,sad
the director and senior consultant,2.399,4.23,6.6290000000000004,sad
physiotherapist at gem spine clinic,4.2,3.83,8.030000000000001,sad
today we are going to talk about,6.629,3.961,10.59,sad
diabetic neuropathy diabetic neuropathy,8.03,4.87,12.899999999999999,sad
Cassie condition here this may accept,10.59,4.44,15.030000000000001,sad
patient up in a pair of may pain or,12.9,4.53,17.43,sad
tingling numbness feel Goethe or kabhi,15.03,4.259,19.289,sad
kabhi burning sensation be feel Captain,17.43,3.509,20.939,fear
Archer miss Kelly,19.289,4.471,23.76,sad
Joe exercise Carney giant gay who say,20.939,5.01,25.948999999999998,sad
hamari pyro get dared me tingling,23.76,5.04,28.8,neutral
numbness me or burning sensation mcafee,25.949,5.941,31.89,neutral
are Amara Hamada Pelle exerciser G say,28.8,6.06,34.86,neutral
Humbert a year later GCB position maker,31.89,4.95,36.84,neutral
sakti homicide from Netanyahu,34.86,4.5,39.36,NA
jitna ho sakta hai uppercuts nahi teen,36.84,5.19,42.03,NA
second Holger K me check each nahi teen,39.36,4.949,44.309,NA
second holy Kirk a fear super kitchen,42.03,4.83,46.86,NA
ahead hot sa he from the recipes burry,44.309,5.851,50.16,NA
say repeat Carnahan sa hamari calf,46.86,5.609,52.469,NA
muscle ski G say ham of Nippon Giachetti,50.16,4.289,54.449,NA
he was the blood circulation improve,52.469,5.281,57.75,NA
hoga or hamare pero may 3rd May burning,54.449,6.121,60.57,NA
me or tingling mid-calf er Amelia hamari,57.75,4.98,62.730000000000004,sad
do silly exercise hey this Muhammad,60.57,6.11,66.68,sad
Nippon Joko clockwise or anticlockwise,62.73,8.45,71.17999999999999,NA
rotate Carnahan he's exercise Kobe hum,66.68,8.02,74.7,NA
pond'rous a bee's body repeat kar sakte,71.18,6.549,77.72900000000001,NA
hain calf muscle samara body key second,74.7,6.12,80.82000000000001,NA
heart ho Teja Dussehra hamara heart huh,77.729,5.011,82.74,NA
Murray body may perceive blood KO flow,80.82,4.799,85.619,NA
kurta Winnie chavista calf muscle Samar,82.74,4.62,87.36,NA
in each is a blood cough local paper,85.619,3.061,88.68,NA
it's superb HTM,87.36,3.509,90.869,NA
his circulatory system cuz it Nahum,88.68,4.369,93.049,NA
improve Karenga in exercises same,90.869,4.741,95.61,NA
oklahomaís problem come holy how my,93.049,5.491,98.54,NA
rotisserie exercise here standing me,95.61,7.02,102.63,NA
it's mayhem I don't know / you do say,98.54,7.57,106.11000000000001,NA
exa Cooper honey hey teen second the,102.63,6.5,109.13,NA
cold cricket fit Nietzsche,106.11,6.329,112.439,NA
Friedrichs athame Ponzio Donaghy teen,109.13,5.65,114.78,NA
second took hold Kirk a fill-in Ichi,112.439,6.0,118.439,NA
it's exercise me over up Chavo Tobin,114.78,6.93,121.71000000000001,NA
ahold Kariba kar sakte ho TC TC Sahara,118.439,6.57,125.00899999999999,NA
like a beaker sakte ho or agar Obinna,121.71,4.38,126.08999999999999,NA
Sahara que carajo,125.009,3.901,128.91,NA
so uh Papa balance or coordination be,126.09,6.81,132.9,NA
improve Carter yet in exercise up,128.91,6.779,135.689,NA
routine me cursor Trejo getting exercise,132.9,5.789,138.689,NA
hum daily routine me those 13 berry,135.689,6.66,142.349,neutral
follow currently SK lava apni diabetic,138.689,6.39,145.07899999999998,sad
maintenance apni glucose monitoring,142.349,4.351,146.7,sad
substrate others you do rehab,145.079,4.86,149.93900000000002,neutral
apni died manage curry daily walk,146.7,5.34,152.04,sad
occurring teens a Charlie to that pond,149.939,4.89,154.82899999999998,sad
EPA or routine Mythili exercises you,152.04,5.279,157.319,sad
read current yes RH is a kinase a hum,154.829,4.74,159.56900000000002,sad
apne lifestyle coach change Kirk a auric,157.319,3.571,160.89,sad
healthy life Catherine Bertini,159.569,5.631,165.2,NA
thank you stay safe have a nice day,160.89,4.31,165.2,NA
